Shop,Tags,Price
浅草 成田屋,"アジア料理,和食,ハラール（イスラム教徒食）",￥￥ - ￥￥￥
バーリズム 秋葉原電気街店,"ピザ,バラエティ",￥￥ - ￥￥￥
吉幸,"和食,アジア料理",￥￥￥￥
ステーキハウス听 秋葉原店,"ステーキハウス,和食,グルテンフリー",￥￥￥￥
カワイイメイドカフェ＆バー アキバ絶対領域,カフェ・喫茶店,￥￥ - ￥￥￥
九州じゃんがららあめん秋葉原本店,"和食,アジア料理,スープ,ベジタリアン料理あり",￥￥ - ￥￥￥
SUKE6 DINER,"カフェ・喫茶店,ベジタリアン料理あり,ヴィーガン料理あり,グルテンフリー",￥￥ - ￥￥￥
浅草 お好み焼き 染太郎,"和食,アジア料理,ベジタリアン料理あり",￥￥ - ￥￥￥
韻松亭,"和食,アジア料理,ベジタリアン料理あり",￥￥￥￥
浅草名代らーめん 与ろゐ屋,"和食,アジア料理,スープ",￥￥ - ￥￥￥
とんかつ丸五,和食,￥￥ - ￥￥￥
アキバ絶対領域A.D.1912,カフェ・喫茶店,￥￥ - ￥￥￥
タパス モラキュラーバー,フュージョン,￥￥￥￥
浅草つる次郎,"和食,ベジタリアン料理あり,ヴィーガン料理あり",￥￥ - ￥￥￥
浅草 今半 国際通り本店,"和食,アジア料理",￥￥￥￥
サクラカフェ神保町,"カフェ・喫茶店,ピザ,ヘルシー,ベジタリアン料理あり,グルテンフリー",￥
駒形どぜう 浅草本店,和食,￥￥ - ￥￥￥
井泉 本店,"和食,アジア料理",￥￥ - ￥￥￥
浅草 牛かつ,"和食,アジア料理",￥￥ - ￥￥￥
牛かつ 壱弐参,"和食,アジア料理",￥￥ - ￥￥￥
山家 御徒町店,"和食,アジア料理",￥
浅草 花月堂 本店,和食,￥
人形町今半 本店,和食,￥￥￥￥
天丼 てんや 浅草店,"和食,アジア料理,ベジタリアン料理あり",￥
ムスビ,和食,￥￥ - ￥￥￥
鍋ぞう 浅草雷門店,"和食,アジア料理",￥￥ - ￥￥￥
神田まつや 本店,"和食,アジア料理,ベジタリアン料理あり",￥￥ - ￥￥￥
ケシキ,"イタリアン,ベジタリアン料理あり",￥￥￥￥
T’sたんたん 東京駅 京葉ストリート店,"和食,アジア料理,ベジタリアン料理あり,ヴィーガン料理あり",￥￥ - ￥￥￥
丸香,和食,￥
ペリカン,デリ,￥￥ - ￥￥￥
